Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761142252,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761142253,40,,Aggregated,0.000000,0.000000,33,35,36,36,37,37,37,37,37,37,37,40,40,33,32.97956999977032,26.57800000451971,37.21149999910267,141.175
1761142254,120,,Aggregated,0.000000,0.000000,35,37,41,41,44,45,52,53,53,53,53,99,99,35,30.885469697217687,1.577399998495821,53.16500000481028,137.05050505050505
1761142255,160,,Aggregated,40.000000,40.000000,35,37,40,41,44,45,51,52,53,53,53,178,178,35,27.879234831427024,1.577399998495821,53.16500000481028,135.74719101123594
1761142256,200,,Aggregated,48.500000,48.500000,32,36,37,39,41,45,51,53,58,58,58,290,290,31,23.872147931050957,1.4675999991595745,58.250199996109586,137.79655172413794
1761142257,200,,Aggregated,57.666667,57.666667,28,35,37,39,42,44,50,53,58,58,58,400,400,27,22.038870499982295,1.237000004039146,58.250199996109586,138.335
1761142258,200,,Aggregated,70.000000,70.000000,6,33,36,38,42,45,51,53,58,58,58,512,512,6,18.922283789066796,1.237000004039146,58.250199996109586,138.203125
1761142259,200,,Aggregated,76.400000,76.400000,5,31,36,37,42,46,52,54,65,65,65,609,609,5,17.436271100181724,1.237000004039146,64.73559999722056,137.5270935960591
1761142260,200,,Aggregated,84.333333,84.333333,5,27,35,37,42,48,52,56,65,65,65,703,703,5,16.203320625835183,1.0411000039312057,64.73559999722056,137.51635846372687
1761142261,200,,Aggregated,84.571429,84.571429,4,8,33,36,43,49,54,58,66,66,66,816,816,4,15.275097916534886,1.0411000039312057,66.27370000205701,137.22549019607843
1761142262,200,,Aggregated,85.875000,85.875000,4,6,32,36,43,50,54,58,66,66,66,908,908,4,14.673290969042357,1.0411000039312057,66.27370000205701,136.98898678414096
1761142263,200,,Aggregated,88.555556,88.555556,4,6,31,35,43,50,56,58,65,66,66,1002,1002,4,14.123427145513162,1.0411000039312057,66.27370000205701,136.88023952095807
1761142264,200,,Aggregated,89.100000,89.100000,4,6,27,35,43,50,54,57,65,66,66,1105,1105,4,13.595409321115927,1.0411000039312057,66.27370000205701,136.7683257918552
1761142265,200,,Aggregated,95.000000,95.000000,4,5,27,34,43,50,54,57,65,66,66,1203,1203,4,13.332474147851102,1.0411000039312057,66.27370000205701,136.28345802161263
1761142266,200,,Aggregated,99.300000,99.300000,4,5,12,33,43,50,54,57,65,66,66,1302,1302,4,12.894762442331455,1.0411000039312057,66.27370000205701,136.37557603686636
1761142267,200,,Aggregated,101.200000,101.200000,4,5,7,32,43,50,54,57,65,66,66,1398,1398,4,12.400841201638162,1.0411000039312057,66.27370000205701,136.74034334763948
1761142268,200,,Aggregated,100.000000,100.000000,4,5,7,31,43,50,54,57,65,66,66,1498,1498,4,12.226834178808215,1.0411000039312057,66.27370000205701,136.58210947930573
1761142269,200,,Aggregated,99.800000,99.800000,4,5,6,29,43,51,54,57,65,66,66,1597,1597,4,11.914480776377799,1.0411000039312057,66.27370000205701,136.74577332498436
1761142270,200,,Aggregated,96.500000,96.500000,4,5,6,27,43,51,54,57,65,66,66,1693,1693,4,11.836223331299752,1.0411000039312057,66.27370000205701,136.48848198464265
1761142271,200,,Aggregated,98.400000,98.400000,4,5,6,25,43,51,54,57,65,66,66,1801,1801,4,11.635460577389713,1.0411000039312057,66.27370000205701,136.51915602443088
1761142272,200,,Aggregated,98.300000,98.300000,4,5,6,9,42,51,54,57,65,66,66,1906,1906,4,11.243736621124413,1.0411000039312057,66.27370000205701,136.8688352570829
1761142273,200,,Aggregated,97.600000,97.600000,4,5,6,9,43,51,54,57,65,66,66,2000,2000,4,11.131390099952114,1.0411000039312057,66.27370000205701,136.7505
1761142274,200,,Aggregated,98.400000,98.400000,4,5,6,8,42,51,54,57,65,66,66,2102,2102,4,10.948177497556166,1.0411000039312057,66.27370000205701,136.82873453853472
1761142275,200,,Aggregated,98.200000,98.200000,4,5,6,8,42,51,54,57,65,66,66,2195,2195,4,10.871359134362883,1.0411000039312057,66.27370000205701,136.74624145785876
1761142276,200,,Aggregated,98.400000,98.400000,4,5,6,7,42,51,54,57,65,66,66,2304,2304,4,10.693195703109065,1.0411000039312057,66.27370000205701,136.84157986111111
1761142277,200,,Aggregated,98.600000,98.600000,4,5,6,7,43,51,54,57,65,66,66,2400,2400,4,10.674630291656891,1.0411000039312057,66.27370000205701,136.66875
1761142278,200,,Aggregated,100.000000,100.000000,4,5,6,8,44,51,56,59,240,450,450,2460,2424,4,11.443823821128916,1.0411000039312057,445.2136999971117,1329.2524390243902
1761142279,200,,Aggregated,100.200000,100.200000,4,5,6,8,45,52,58,130,1200,1300,1300,2499,2424,4,17.38114589834706,1.0411000039312057,1276.814499993634,2487.3541416566627
1761142280,200,,Aggregated,98.100000,95.300000,4,5,6,8,45,52,58,150,1500,1800,1800,2521,2424,4,19.265394724306514,1.0411000039312057,1798.510400003579,2761.2772709242363
1761142281,200,,Aggregated,91.100000,84.800000,4,5,6,8,46,53,61,700,2900,3000,3000,2540,2424,4,30.483238228327366,1.0411000039312057,2986.4069999966887,3753.8220472440944
1761142282,200,,Aggregated,84.300000,75.400000,4,5,6,9,46,53,64,1000,3300,3800,3800,2550,2424,4,38.26590478429388,1.0411000039312057,3833.8615000029677,4172.191372549019
1761142283,200,,Aggregated,76.400000,65.100000,4,5,6,9,46,54,250,2600,4400,4800,4800,2565,2424,4,61.64436651070736,1.0411000039312057,4809.900699998252,5150.662768031189
1761142284,200,,Aggregated,67.200000,54.900000,4,5,6,13,47,54,1100,4200,5600,5700,5700,2581,2424,4,88.10760154977258,1.0411000039312057,5670.9577000001445,6258.885703215808
1761142285,200,,Aggregated,59.000000,45.200000,4,5,6,21,48,55,2600,4900,6500,7300,7300,2601,2424,4,120.52507181851455,1.0411000039312057,7276.342999997723,6919.951172625913
1761142286,200,,Aggregated,50.100000,35.000000,4,5,6,27,49,57,4200,5700,7400,7400,7400,2616,2424,4,156.44519300457117,1.0411000039312057,7427.435700003116,8005.693042813456
1761142287,200,,Aggregated,42.300000,25.300000,4,5,6,29,50,60,5000,6600,7900,8000,8000,2637,2424,4,201.97565957525765,1.0411000039312057,7997.610699996585,8920.665908229048
1761142288,200,,Aggregated,33.300000,14.400000,4,5,7,31,50,66,6000,7600,8500,9000,9000,2655,2424,4,250.6757184557309,1.0411000039312057,8971.902900004352,9416.330696798494
1761142289,200,,Aggregated,25.400000,4.200000,4,5,7,32,51,660,6800,8100,9800,10000,10000,2670,2424,4,294.303735880137,1.0411000039312057,9970.092899995507,10053.820973782771
1761142290,200,,Aggregated,20.000000,0.000000,4,5,7,33,52,1300,7600,8600,10000,10000,10000,2687,2429,4,344.31261358391214,1.0411000039312057,10409.360599995125,10266.132489765538
1761142291,200,,Aggregated,17.600000,0.000000,4,5,7,35,53,4200,8600,10000,10000,10000,10000,2717,2454,4,440.0622149429261,1.0411000039312057,10460.37449999858,10155.144276775856
1761142292,200,,Aggregated,17.000000,0.100000,4,5,8,36,54,5700,10000,10000,10000,10000,10000,2753,2488,4,536.4124308390584,1.0411000039312057,10460.37449999858,10024.503450780967
1761142293,200,,Aggregated,16.900000,2.000000,4,5,8,36,54,6500,10000,10000,10000,10000,10000,2798,2533,4,583.609004717625,1.0411000039312057,10460.37449999858,9865.533595425304
1761142294,200,,Aggregated,18.800000,4.600000,4,5,8,37,55,7400,10000,10000,10000,10000,10000,2840,2575,4,618.9960159154715,1.0411000039312057,10460.37449999858,9721.66514084507
1761142295,200,,Aggregated,21.200000,8.500000,4,5,8,37,56,7500,10000,10000,10000,10000,10000,2889,2624,4,637.4004902388059,1.0411000039312057,10460.37449999858,9559.093457943925
1761142296,200,,Aggregated,24.300000,12.900000,4,5,8,37,56,7900,10000,10000,10000,10000,10000,2949,2684,4,673.9843287554801,1.0411000039312057,10460.37449999858,9367.330281451339
1761142297,200,,Aggregated,27.200000,17.700000,4,5,8,37,57,8200,10000,10000,10000,10000,10000,3018,2753,4,693.1018727965189,1.0411000039312057,10460.37449999858,9156.413187541419
1761142298,200,,Aggregated,31.200000,23.600000,4,5,8,37,60,9100,10000,10000,10000,10000,10000,3088,2823,4,751.6139230893458,1.0411000039312057,10460.37449999858,8952.015220207253
1761142299,200,,Aggregated,35.300000,30.000000,4,5,8,37,60,9500,10000,10000,10000,10000,10000,3165,2900,4,763.0411812006031,1.0411000039312057,10460.37449999858,8737.560505529225
1761142300,200,,Aggregated,40.800000,37.100000,4,5,8,38,65,10000,10000,10000,10000,10000,10000,3273,3008,4,811.1428327222303,1.0411000039312057,10460.37449999858,8453.82370913535
1761142301,200,,Aggregated,47.000000,44.400000,4,5,8,37,65,10000,10000,10000,10000,10000,10000,3346,3081,4,818.395078989789,1.0411000039312057,10460.37449999858,8272.515839808726
1761142302,200,,Aggregated,54.000000,53.300000,4,5,8,37,170,10000,10000,10000,10000,10000,10000,3452,3187,4,844.7047571262714,1.0411000039312057,10460.37449999858,8022.755793742758
1761142303,200,,Aggregated,60.200000,59.900000,4,5,7,37,64,10000,10000,10000,10000,10000,10000,3555,3290,4,823.3385365400526,1.0411000039312057,10460.37449999858,7794.336427566807
